DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
FLORENCIA,GASOLINA Y ACPM, 0  
FLORENCIA,CREE RETENCIONES, 3 
FLORENCIA,CREE DECLARACIONES, 39 
FLORENCIA,AL CARBONO, 0  
FLORENCIA,POR CLASIFICAR, 2.229 
GIRARDOT,RENTA CUOTAS, 23.879 
GIRARDOT,IVA DECLARACIONES, 31.366 
GIRARDOT,RETENCIONES, 49.457 
GIRARDOT,EXTERNOS, 6 
GIRARDOT,SEGURIDAD DEMOCRATICA, 0 
NEIVA,PATRIMONIO, 70 
PASTO,RIQUEZA, 1.912 
GIRARDOT,PRECIOS DE TRANSFERENCIA, 0  
GIRARDOT,GMF, 0  
GIRARDOT,CONSUMO, 4.116 
GIRARDOT,GASOLINA Y ACPM, 0  
GIRARDOT,CREE RETENCIONES, 43 
GIRARDOT,CREE DECLARACIONES, 311 
GIRARDOT,AL CARBONO, 0  
GIRARDOT,POR CLASIFICAR, 257 
GRANDES CONTRIBUYENTES BOGOTA,RENTA CUOTAS, 8.346.567 
GRANDES CONTRIBUYENTES BOGOTA,IVA DECLARACIONES, 12.894.730 
GRANDES CONTRIBUYENTES BOGOTA,RETENCIONES, 29.035.153 
GRANDES CONTRIBUYENTES BOGOTA,EXTERNOS, 0  
GRANDES CONTRIBUYENTES BOGOTA,SEGURIDAD DEMOCRATICA, 0  
VILLAVICENCIO,PATRIMONIO, 54 
TULUA,RIQUEZA, 1.864 
GRANDES CONTRIBUYENTES BOGOTA,PRECIOS DE TRANSFERENCIA, 2.032 
GRANDES CONTRIBUYENTES BOGOTA,GMF, 4.208.580 
GRANDES CONTRIBUYENTES BOGOTA,CONSUMO, 833.085 
GRANDES CONTRIBUYENTES BOGOTA,GASOLINA Y ACPM, 983.757 
GRANDES CONTRIBUYENTES BOGOTA,CREE RETENCIONES, 3.482 
GRANDES CONTRIBUYENTES BOGOTA,CREE DECLARACIONES, 25.426 
GRANDES CONTRIBUYENTES BOGOTA,AL CARBONO, 230.768 
