FECHA;INCIDENTE;CANT_INCIDENTES
Sep 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;122
Sep 1 2015;EXPLOSIÓN;126
Sep 1 2015;HALLAZGO DE EXPLOSIVOS;158
Sep 1 2016;ACCIDENTE DE AVIACIÓN;1
Sep 1 2016;ABORTO;2
Sep 1 2016;PREVENCIÓN;4
Sep 1 2016;INCIDENTE RESCATE ACUÁTICO;10
Sep 1 2016;INCENDIO CON MATPEL;11
Sep 1 2016;DESLIZAMIENTO;16
Sep 1 2016;RESTOS HUMANOS;16
Sep 1 2016;SANGRADO VAGINAL;56
Sep 1 2016;AMENAZA DE RUINA;59
Sep 1 2016;ELECTROCUCIÓN / RESCATE;59
Sep 1 2016;QUEMADURAS;67
Sep 1 2016;EXPLOSIÓN;101
Sep 1 2016;VEHÍCULO RECUPERADO;109
Sep 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;122
Sep 1 2016;FUGA DE PRESOS;146
Sep 1 2016;HALLAZGO DE EXPLOSIVOS;168
Sep 1 2017;ABORTO;1
Sep 1 2017;ACCIÓN SUBVERSIVA;1
Sep 1 2017;RESCATES MONTAÑA;3
Sep 1 2017;RESTOS HUMANOS;6
Sep 1 2017;DESLIZAMIENTO;8
Sep 1 2017;INCENDIO CON MATPEL;19
Sep 1 2017;INCIDENTE RESCATE ACUÁTICO;20
Sep 1 2017;QUEMADURAS;42
Sep 1 2017;AMENAZA DE RUINA;48
Sep 1 2017;ELECTROCUCIÓN / RESCATE;52
Sep 1 2017;EXPLOSIÓN;80
Sep 1 2017;SANGRADO VAGINAL;83
Sep 1 2017;VEHÍCULO RECUPERADO;92
Sep 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;102
Sep 1 2017;HALLAZGO DE EXPLOSIVOS;128
Sep 1 2017;FUGA DE PRESOS;129
Sep 1 2018;ABORTO;1
Sep 1 2018;ACCIÓN SUBVERSIVA;1
Sep 1 2018;DESARME;1
Sep 1 2018;RESCATES MONTAÑA;5
Sep 1 2018;RESTOS HUMANOS;7
Sep 1 2018;DESLIZAMIENTO;11
Sep 1 2018;INCENDIO CON MATPEL;11
Sep 1 2018;ELECTROCUCIÓN / RESCATE;15
Sep 1 2018;INCIDENTE RESCATE ACUÁTICO;17
Sep 1 2018;QUEMADURAS;50
Sep 1 2018;SANGRADO VAGINAL;51
Sep 1 2018;EXPLOSIÓN;55
Sep 1 2018;AMENAZA DE RUINA;86
Sep 1 2018;HALLAZGO DE EXPLOSIVOS;104
Sep 1 2018;VEHÍCULO RECUPERADO;110
Sep 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;115
Sep 1 2018;FUGA DE PRESOS;148
Sep 1 2019;ACCIÓN SUBVERSIVA;1
Sep 1 2019;ABORTO;2
Sep 1 2019;RESCATES MONTAÑA;5
Sep 1 2019;RESTOS HUMANOS;11
Sep 1 2019;INCENDIO CON MATPEL;14
Sep 1 2019;DESLIZAMIENTO;19
Sep 1 2019;ELECTROCUCIÓN / RESCATE;19
Sep 1 2019;INCIDENTE RESCATE ACUÁTICO;31
Sep 1 2019;QUEMADURAS;42
Sep 1 2019;EXPLOSIÓN;63
Sep 1 2019;SANGRADO VAGINAL;64
Sep 1 2019;AMENAZA DE RUINA;77
Sep 1 2019;VEHÍCULO RECUPERADO;98
Sep 1 2019;HALLAZGO DE EXPLOSIVOS;99
Sep 1 2019;FUGA DE PRESOS;107
Sep 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;112
