FECHA;INCIDENTE;CANT_INCIDENTES
Feb 1 2017;INCIDENTE RESCATE ACUÁTICO;14
Feb 1 2017;RESTOS HUMANOS;14
Feb 1 2017;ELECTROCUCIÓN / RESCATE;16
Feb 1 2017;SISMO;16
Feb 1 2017;INCENDIO CON MATPEL;27
Feb 1 2017;SANGRADO VAGINAL;41
Feb 1 2017;QUEMADURAS;43
Feb 1 2017;AMENAZA DE RUINA;57
Feb 1 2017;VEHÍCULO RECUPERADO;93
Feb 1 2017;FUGA DE PRESOS;128
Feb 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;151
Feb 1 2017;EXPLOSIÓN;173
Feb 1 2017;HALLAZGO DE EXPLOSIVOS;202
Feb 1 2018;DESARME;1
Feb 1 2018;RESCATES MONTAÑA;2
Feb 1 2018;ACCIÓN SUBVERSIVA;3
Feb 1 2018;ABORTO;4
Feb 1 2018;RESTOS HUMANOS;10
Feb 1 2018;INCENDIO CON MATPEL;11
Feb 1 2018;DESLIZAMIENTO;12
Feb 1 2018;INCIDENTE RESCATE ACUÁTICO;27
Feb 1 2018;AMENAZA DE RUINA;47
Feb 1 2018;QUEMADURAS;51
Feb 1 2018;SANGRADO VAGINAL;56
Feb 1 2018;ELECTROCUCIÓN / RESCATE;66
Feb 1 2018;EXPLOSIÓN;69
Feb 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;77
Feb 1 2018;VEHÍCULO RECUPERADO;95
Feb 1 2018;FUGA DE PRESOS;129
Feb 1 2018;HALLAZGO DE EXPLOSIVOS;231
Feb 1 2019;ACCIÓN SUBVERSIVA;1
Feb 1 2019;INCENDIO EN AERONAVE;1
Feb 1 2019;DESLIZAMIENTO;4
Feb 1 2019;RESCATES MONTAÑA;4
Feb 1 2019;INCIDENTE RESCATE ACUÁTICO;6
Feb 1 2019;RESTOS HUMANOS;13
Feb 1 2019;ELECTROCUCIÓN / RESCATE;14
Feb 1 2019;INCENDIO CON MATPEL;29
Feb 1 2019;QUEMADURAS;30
Feb 1 2019;EXPLOSIÓN;35
Feb 1 2019;SANGRADO VAGINAL;50
Feb 1 2019;AMENAZA DE RUINA;63
Feb 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;75
Feb 1 2019;VEHÍCULO RECUPERADO;104
Feb 1 2019;FUGA DE PRESOS;105
Feb 1 2019;HALLAZGO DE EXPLOSIVOS;116
Formula1;ABORTO;
Formula1;ACCIDENTE DE AVIACIÓN;
Formula1;ACCIÓN SUBVERSIVA;
Formula1;AMENAZA DE RUINA;
Formula1;DESARME;
Formula1;DESLIZAMIENTO;
Formula1;ELECTROCUCIÓN / RESCATE;
Formula1;EXPLOSIÓN;
Formula1;FUGA DE PRESOS;
Formula1;HALLAZGO DE EXPLOSIVOS;
Formula1;INCENDIO CON MATPEL;
Formula1;INCENDIO EN AERONAVE;
Formula1;INCIDENTE RESCATE ACUÁTICO;
Formula1;MENOR EN ESTABLECIMIENTO MAYORES;
Formula1;PREVENCIÓN;
Formula1;QUEMADURAS;
