account_id,event_id,total_deposits
36,15623,0
18,12058,0
36,5202,0
18,7116,200
51,430,19600
18,1500,0
36,280,80
26,160,
36,15526,0
26,10512,4955
26,13769,3000
51,10353,0
24,12647,1000
51,272,0
24,2029,0
26,8155,0
36,4392,0
18,12951,0
18,3489,0
26,13131,0
18,15063,0
51,452,0
51,562,0
18,9611,0
26,12734,0
36,10198,0
26,3848,250
18,3332,0
36,8838,801
56,390,0
51,909,0
51,384,0
18,7839,0
51,1872,0
18,2894,0
51,1130,0
26,838,0
18,5491,0
26,10240,2150
36,14857,10
51,11824,0
36,6507,400
36,2388,0
36,5956,0
51,473,0
36,11287,0
26,7369,1260
36,14377,0
18,5355,0
51,10304,0
36,8809,0
26,1077,25000
51,276,0
26,1736,0
18,9465,0
51,387,0
18,15538,0
45,354,102045
51,348,0
26,10166,0
51,501,0
26,5241,20
36,9898,200
51,10707,200
18,15592,0
18,8952,0
26,306,50
26,10792,0
36,1808,0
24,10336,9
18,10767,0
51,610,0
26,1412,0
51,503,23250
51,4229,0
51,3224,0
18,6872,0
36,15185,0
18,11827,0
18,5066,35293451
51,2125,34000
18,3524,0
51,10937,0
51,6091,0
51,1250,0
36,6354,0
26,14325,0
51,3321,0
51,1153,0
26,569,16600
36,1620,0
36,8611,0
51,13262,200
26,249,20
51,6023,0
26,11298,0
36,435,0
18,9163,0
51,382,0
24,14562,0
18,9606,0
51,322,0
51,491,2250
18,9636,0
36,5719,0
26,6157,0
51,1124,0
18,11737,0
18,11632,0
51,560,0
18,7367,100
51,1701,0
36,14472,0
51,2215,0
18,8903,0
26,493,0
36,8012,0
26,566,0
51,720,0
36,11200,0
36,2900,600
26,401,360
18,12742,0
51,240,0
18,4084,0
26,12657,0
51,346,0
26,1759,0
51,6057,0
51,10900,200
36,4538,123
24,15070,0
51,504,0
18,14940,2800
26,6179,0
26,15034,0
51,576,0
24,6335,98
51,612,0
18,15007,0
51,621,0
36,7535,0
26,1764,0
51,574,0
18,5959,214324
36,2195,5100
26,1496,0
56,1896,14500000
36,211,0
51,889,0
51,7529,200
36,14879,0
18,12401,0
18,3829,0
36,174,
26,11211,28000
36,5356,0
26,14470,0
36,14579,295
26,10932,0
51,277,0
51,1879,0
26,945,0
26,9100,0
26,531,540000
26,1506,60
51,5860,0
36,208,0
51,528,0
36,166,
36,8854,0
51,2110,0
51,301,15150
26,367,0
26,454,0
36,13077,102
45,239,0
24,128,0
26,5157,335
26,3176,0
18,4390,210
36,7536,180
24,11652,5000
51,5620,400
18,3990,0
45,289,0
36,14858,295
18,14696,0
36,13313,0
51,363,0
24,4453,0
36,7395,20000
51,537,0
51,9183,200
51,326,0
51,495,0
51,11837,0
18,2895,0
26,11290,21012
18,3874,0
36,15208,0
26,10543,0
26,746,0
36,11904,0
51,782,25050
51,426,0
18,15196,0
51,259,0
18,1916,0
56,222,8525
26,6095,0
18,10417,36131200
51,5160,0
26,11474,0
36,184,
51,539,0
18,3893,0
51,4153,0
18,4738,0
51,377,0
26,14456,0
51,538,0
51,439,0
51,1941,0
36,13463,0
36,14698,0
36,1246,0
56,221,692547
36,11634,0
36,12953,0
18,11887,0
36,6491,200
51,356,0
24,1840,0
26,1757,0
26,10162,0
51,344,0
26,678,0
26,450,0
26,613,0
26,716,0
51,5717,0
18,3944,0
18,5331,0
36,7442,300
26,236,600
36,12338,300
26,7932,0
26,350,0
18,351,0
18,710,0
36,3124,200
51,3881,0
36,1449,0
51,4728,0
26,5794,0
51,817,0
26,585,0
18,7694,0
26,484,155
26,699,12
51,2858,7800
51,440,0
18,10339,1100
18,5187,5000
51,4554,0
36,1517,0
51,5303,0
26,14748,0
51,523,600
51,509,0
51,6895,0
51,482,0
18,6779,0
18,1638,64
36,14071,10
36,8635,600
36,212,33
26,499,0
36,12949,0
51,1592,0
51,385,0
18,266,0
26,6096,0
36,14775,0
18,13338,0
51,3820,0
26,313,13835
24,11649,720000
51,1222,0
26,835,2994
24,159,0
