FECHA,LOCALIDAD,CANT_INCIDENTES
Aug 1 2018,ANTONIO NARINO,4274
Aug 1 2018,BARRIOS UNIDOS,8244
Aug 1 2018,BOSA,16632
Aug 1 2018,CANDELARIA,1702
Aug 1 2018,CHAPINERO,11021
Aug 1 2018,CIUDAD BOLIVAR,16868
Aug 1 2018,ENGATIVA,24667
Aug 1 2018,FONTIBON,10671
Aug 1 2018,KENNEDY,30603
Aug 1 2018,LOS MARTIRES,5572
Aug 1 2018,PUENTE ARANDA,10601
Aug 1 2018,RAFAEL URIBE URIBE,11635
Aug 1 2018,SAN CRISTOBAL,10773
Aug 1 2018,SANTA FE,6978
Aug 1 2018,SIN LOCALIZACION,592
Aug 1 2018,SUBA,33170
Aug 1 2018,TEUSAQUILLO,8462
Aug 1 2018,TUNJUELITO,5830
Aug 1 2018,USAQUEN,17841
Aug 1 2018,USME,7157
Aug 1 2019,ANTONIO NARINO,4334
Aug 1 2019,BARRIOS UNIDOS,8229
Aug 1 2019,BOSA,16090
Aug 1 2019,CANDELARIA,1423
Aug 1 2019,CHAPINERO,10853
Aug 1 2019,CIUDAD BOLIVAR,16921
Aug 1 2019,ENGATIVA,24302
Aug 1 2019,FONTIBON,11843
Aug 1 2019,KENNEDY,29784
Aug 1 2019,LOS MARTIRES,5637
Aug 1 2019,PUENTE ARANDA,10577
Aug 1 2019,RAFAEL URIBE URIBE,11866
Aug 1 2019,SAN CRISTOBAL,11223
Aug 1 2019,SANTA FE,6863
Aug 1 2019,SIN LOCALIZACION,1961
Aug 1 2019,SUBA,30769
Aug 1 2019,TEUSAQUILLO,8325
Aug 1 2019,TUNJUELITO,5534
Aug 1 2019,USAQUEN,17052
Aug 1 2019,USME,6762
Dec 1 2014,ANTONIO NARINO,5487
Dec 1 2014,BARRIOS UNIDOS,10090
Dec 1 2014,BOSA,17944
Dec 1 2014,CANDELARIA,1928
Dec 1 2014,CHAPINERO,12950
Dec 1 2014,CIUDAD BOLIVAR,19298
Dec 1 2014,ENGATIVA,32800
Dec 1 2014,FONTIBON,15154
Dec 1 2014,KENNEDY,36933
Dec 1 2014,LOS MARTIRES,7974
Dec 1 2014,PUENTE ARANDA,14440
Dec 1 2014,RAFAEL URIBE URIBE,15754
Dec 1 2014,SAN CRISTOBAL,16772
Dec 1 2014,SANTA FE,9091
Dec 1 2014,SIN LOCALIZACION,2249
Dec 1 2014,SUBA,35269
Dec 1 2014,TEUSAQUILLO,9527
Dec 1 2014,TUNJUELITO,8010
Dec 1 2014,USAQUEN,20246
Dec 1 2014,USME,10107
Dec 1 2015,ANTONIO NARINO,6473
Dec 1 2015,BARRIOS UNIDOS,10671
Dec 1 2015,BOSA,20325
Dec 1 2015,CANDELARIA,2091
Dec 1 2015,CHAPINERO,13371
Dec 1 2015,CIUDAD BOLIVAR,20863
Dec 1 2015,ENGATIVA,34752
Dec 1 2015,FONTIBON,16252
Dec 1 2015,KENNEDY,41422
Dec 1 2015,LOS MARTIRES,8497
Dec 1 2015,PUENTE ARANDA,15138
Dec 1 2015,RAFAEL URIBE URIBE,15707
Dec 1 2015,SAN CRISTOBAL,15886
Dec 1 2015,SANTA FE,9961
Dec 1 2015,SIN LOCALIZACION,1293
Dec 1 2015,SUBA,35835
Dec 1 2015,TEUSAQUILLO,10214
Dec 1 2015,TUNJUELITO,9036
Dec 1 2015,USAQUEN,22167
Dec 1 2015,USME,10943
Dec 1 2016,ANTONIO NARINO,5806
Dec 1 2016,BARRIOS UNIDOS,9409
Dec 1 2016,BOSA,17808
Dec 1 2016,CANDELARIA,1714
Dec 1 2016,CHAPINERO,12113
Dec 1 2016,CIUDAD BOLIVAR,18187
Dec 1 2016,ENGATIVA,30222
