FECHA,LOCALIDAD,CANT_INCIDENTES
Sep 1 2017,FONTIBON,11491
Sep 1 2017,KENNEDY,33295
Sep 1 2017,LOS MARTIRES,6890
Sep 1 2017,PUENTE ARANDA,11506
Sep 1 2017,RAFAEL URIBE URIBE,11735
Sep 1 2017,SAN CRISTOBAL,11996
Sep 1 2017,SANTA FE,7294
Sep 1 2017,SIN LOCALIZACION,664
Sep 1 2017,SUBA,31928
Sep 1 2017,TEUSAQUILLO,8722
Sep 1 2017,TUNJUELITO,5776
Sep 1 2017,USAQUEN,18915
Sep 1 2017,USME,7844
Sep 1 2018,ANTONIO NARINO,4600
Sep 1 2018,BARRIOS UNIDOS,7829
Sep 1 2018,BOSA,17837
Sep 1 2018,CANDELARIA,1636
Sep 1 2018,CHAPINERO,10503
Sep 1 2018,CIUDAD BOLIVAR,18210
Sep 1 2018,ENGATIVA,25637
Sep 1 2018,FONTIBON,11311
Sep 1 2018,KENNEDY,32382
Sep 1 2018,LOS MARTIRES,6294
Sep 1 2018,PUENTE ARANDA,11408
Sep 1 2018,RAFAEL URIBE URIBE,12212
Sep 1 2018,SAN CRISTOBAL,11590
Sep 1 2018,SANTA FE,7020
Sep 1 2018,SIN LOCALIZACION,641
Sep 1 2018,SUBA,33123
Sep 1 2018,TEUSAQUILLO,8020
Sep 1 2018,TUNJUELITO,6045
Sep 1 2018,USAQUEN,18653
Sep 1 2018,USME,7669
Sep 1 2019,ANTONIO NARINO,3989
Sep 1 2019,BARRIOS UNIDOS,7802
Sep 1 2019,BOSA,16974
Sep 1 2019,CANDELARIA,1410
Sep 1 2019,CHAPINERO,10698
Sep 1 2019,CIUDAD BOLIVAR,16709
Sep 1 2019,ENGATIVA,23767
Sep 1 2019,FONTIBON,11508
Sep 1 2019,KENNEDY,29385
Sep 1 2019,LOS MARTIRES,5918
Sep 1 2019,PUENTE ARANDA,10033
Sep 1 2019,RAFAEL URIBE URIBE,11344
Sep 1 2019,SAN CRISTOBAL,12216
Sep 1 2019,SANTA FE,6687
Sep 1 2019,SIN LOCALIZACION,2054
Sep 1 2019,SUBA,30056
Sep 1 2019,TEUSAQUILLO,7763
Sep 1 2019,TUNJUELITO,5485
Sep 1 2019,USAQUEN,16025
Sep 1 2019,USME,6870
