account_id,account_name,event_id,event_name,total_deposits
51,Organizador 51,452,Evento 452,735
51,Organizador 51,562,Evento 562,240
18,Organizador 18,9611,Evento 9611,251
26,Organizador 26,12734,Evento 12734,17
36,Organizador 36,10198,Evento 10198,42
26,Organizador 26,3848,Evento 3848,172
18,Organizador 18,3332,Evento 3332,10
36,Organizador 36,8838,Evento 8838,31
56,Organizador 56,390,Evento 390,496
51,Organizador 51,909,Evento 909,706
51,Organizador 51,384,Evento 384,493
18,Organizador 18,7839,Evento 7839,463
51,Organizador 51,1872,Evento 1872,11
18,Organizador 18,2894,Evento 2894,526
51,Organizador 51,1130,Evento 1130,234
26,Organizador 26,838,Evento 838,8
18,Organizador 18,5491,Evento 5491,2950
26,Organizador 26,10240,Evento 10240,38
36,Organizador 36,14857,Evento 14857,8
51,Organizador 51,11824,Evento 11824,307
36,Organizador 36,6507,Evento 6507,71
36,Organizador 36,2388,Evento 2388,4
36,Organizador 36,5956,Evento 5956,7
51,Organizador 51,473,Evento 473,499
36,Organizador 36,11287,Evento 11287,10
26,Organizador 26,7369,Evento 7369,79
36,Organizador 36,14377,Evento 14377,4
18,Organizador 18,5355,Evento 5355,2
51,Organizador 51,10304,Evento 10304,70
36,Organizador 36,8809,Evento 8809,88
26,Organizador 26,1077,Evento 1077,58
51,Organizador 51,276,Evento 276,127
26,Organizador 26,1736,Evento 1736,91
18,Organizador 18,9465,Evento 9465,2129
51,Organizador 51,387,Evento 387,447
18,Organizador 18,15538,Evento 15538,8
45,Organizador 45,354,Evento 354,914
51,Organizador 51,348,Evento 348,187
26,Organizador 26,10166,Evento 10166,48
51,Organizador 51,501,Evento 501,305
26,Organizador 26,5241,Evento 5241,19
36,Organizador 36,9898,Evento 9898,38
51,Organizador 51,10707,Evento 10707,139
18,Organizador 18,15592,Evento 15592,4
18,Organizador 18,8952,Evento 8952,13
26,Organizador 26,306,Evento 306,1
26,Organizador 26,10792,Evento 10792,4
36,Organizador 36,1808,Evento 1808,32
24,Organizador 24,10336,Evento 10336,10
18,Organizador 18,10767,Evento 10767,47
51,Organizador 51,610,Evento 610,344
26,Organizador 26,1412,Evento 1412,11
51,Organizador 51,503,Evento 503,571
51,Organizador 51,4229,Evento 4229,153
51,Organizador 51,3224,Evento 3224,120
18,Organizador 18,6872,Evento 6872,13
36,Organizador 36,15185,Evento 15185,17
18,Organizador 18,11827,Evento 11827,566
18,Organizador 18,5066,Evento 5066,3086
51,Organizador 51,2125,Evento 2125,228
18,Organizador 18,3524,Evento 3524,902
51,Organizador 51,10937,Evento 10937,30
51,Organizador 51,6091,Evento 6091,7
51,Organizador 51,1250,Evento 1250,329
36,Organizador 36,6354,Evento 6354,1
26,Organizador 26,14325,Evento 14325,5
51,Organizador 51,3321,Evento 3321,2
51,Organizador 51,1153,Evento 1153,178
26,Organizador 26,569,Evento 569,232
36,Organizador 36,1620,Evento 1620,1
36,Organizador 36,8611,Evento 8611,2
51,Organizador 51,13262,Evento 13262,223
26,Organizador 26,249,Evento 249,35
51,Organizador 51,6023,Evento 6023,244
26,Organizador 26,11298,Evento 11298,24
36,Organizador 36,435,Evento 435,4
18,Organizador 18,9163,Evento 9163,657
51,Organizador 51,382,Evento 382,419
24,Organizador 24,14562,Evento 14562,9
18,Organizador 18,9606,Evento 9606,439
51,Organizador 51,322,Evento 322,643
51,Organizador 51,491,Evento 491,320
18,Organizador 18,9636,Evento 9636,1237
36,Organizador 36,5719,Evento 5719,23
26,Organizador 26,6157,Evento 6157,1
51,Organizador 51,1124,Evento 1124,167
18,Organizador 18,11737,Evento 11737,10
18,Organizador 18,11632,Evento 11632,4
51,Organizador 51,560,Evento 560,301
18,Organizador 18,7367,Evento 7367,190
51,Organizador 51,1701,Evento 1701,141
36,Organizador 36,14472,Evento 14472,75
51,Organizador 51,2215,Evento 2215,311
18,Organizador 18,8903,Evento 8903,849
26,Organizador 26,493,Evento 493,158
36,Organizador 36,8012,Evento 8012,28
26,Organizador 26,566,Evento 566,1
51,Organizador 51,720,Evento 720,162
36,Organizador 36,11200,Evento 11200,16
36,Organizador 36,2900,Evento 2900,55
26,Organizador 26,401,Evento 401,193
18,Organizador 18,12742,Evento 12742,7
51,Organizador 51,240,Evento 240,59
18,Organizador 18,4084,Evento 4084,608
26,Organizador 26,12657,Evento 12657,2
51,Organizador 51,346,Evento 346,37
26,Organizador 26,1759,Evento 1759,1
51,Organizador 51,6057,Evento 6057,499
51,Organizador 51,10900,Evento 10900,333
36,Organizador 36,4538,Evento 4538,208
24,Organizador 24,15070,Evento 15070,7
51,Organizador 51,504,Evento 504,41
18,Organizador 18,14940,Evento 14940,57
26,Organizador 26,6179,Evento 6179,1
26,Organizador 26,15034,Evento 15034,7
51,Organizador 51,576,Evento 576,201
24,Organizador 24,6335,Evento 6335,83
51,Organizador 51,612,Evento 612,650
18,Organizador 18,15007,Evento 15007,33
51,Organizador 51,621,Evento 621,179
36,Organizador 36,7535,Evento 7535,3
26,Organizador 26,1764,Evento 1764,100
51,Organizador 51,574,Evento 574,820
18,Organizador 18,5959,Evento 5959,31
36,Organizador 36,2195,Evento 2195,219
26,Organizador 26,1496,Evento 1496,89
56,Organizador 56,1896,Evento 1896,264
36,Organizador 36,211,Evento 211,1
51,Organizador 51,889,Evento 889,122
51,Organizador 51,7529,Evento 7529,204
36,Organizador 36,14879,Evento 14879,12
18,Organizador 18,12401,Evento 12401,437
18,Organizador 18,3829,Evento 3829,5
36,Organizador 36,174,Evento 174,2
26,Organizador 26,11211,Evento 11211,115
36,Organizador 36,5356,Evento 5356,19
26,Organizador 26,14470,Evento 14470,4
36,Organizador 36,14579,Evento 14579,1
26,Organizador 26,10932,Evento 10932,33
51,Organizador 51,277,Evento 277,301
51,Organizador 51,1879,Evento 1879,1
26,Organizador 26,945,Evento 945,1
26,Organizador 26,9100,Evento 9100,36
26,Organizador 26,531,Evento 531,51
26,Organizador 26,1506,Evento 1506,184
51,Organizador 51,5860,Evento 5860,236
36,Organizador 36,208,Evento 208,1
51,Organizador 51,528,Evento 528,385
36,Organizador 36,166,Evento 166,1
36,Organizador 36,8854,Evento 8854,10
51,Organizador 51,2110,Evento 2110,423
51,Organizador 51,301,Evento 301,1017
26,Organizador 26,367,Evento 367,48
26,Organizador 26,454,Evento 454,8
36,Organizador 36,13077,Evento 13077,4
45,Organizador 45,239,Evento 239,243
24,Organizador 24,128,Evento 128,3
26,Organizador 26,5157,Evento 5157,28
26,Organizador 26,3176,Evento 3176,45
18,Organizador 18,4390,Evento 4390,50
36,Organizador 36,7536,Evento 7536,34
24,Organizador 24,11652,Evento 11652,32
51,Organizador 51,5620,Evento 5620,161
18,Organizador 18,3990,Evento 3990,543
45,Organizador 45,289,Evento 289,200
36,Organizador 36,14858,Evento 14858,1
18,Organizador 18,14696,Evento 14696,20
36,Organizador 36,13313,Evento 13313,26
51,Organizador 51,363,Evento 363,338
24,Organizador 24,4453,Evento 4453,36
36,Organizador 36,7395,Evento 7395,7
51,Organizador 51,537,Evento 537,707
51,Organizador 51,9183,Evento 9183,215
51,Organizador 51,326,Evento 326,266
51,Organizador 51,495,Evento 495,316
51,Organizador 51,11837,Evento 11837,54
18,Organizador 18,2895,Evento 2895,383
26,Organizador 26,11290,Evento 11290,11
18,Organizador 18,3874,Evento 3874,459
36,Organizador 36,15208,Evento 15208,8
26,Organizador 26,10543,Evento 10543,14
26,Organizador 26,746,Evento 746,18
36,Organizador 36,11904,Evento 11904,1
51,Organizador 51,782,Evento 782,587
51,Organizador 51,426,Evento 426,143
18,Organizador 18,15196,Evento 15196,28
51,Organizador 51,259,Evento 259,61
18,Organizador 18,1916,Evento 1916,62
56,Organizador 56,222,Evento 222,788
26,Organizador 26,6095,Evento 6095,1
18,Organizador 18,10417,Evento 10417,1030
51,Organizador 51,5160,Evento 5160,38
26,Organizador 26,11474,Evento 11474,7
36,Organizador 36,184,Evento 184,8
51,Organizador 51,539,Evento 539,345
18,Organizador 18,3893,Evento 3893,1168
51,Organizador 51,4153,Evento 4153,63
18,Organizador 18,4738,Evento 4738,1875
51,Organizador 51,377,Evento 377,289
26,Organizador 26,14456,Evento 14456,27
51,Organizador 51,538,Evento 538,424
51,Organizador 51,439,Evento 439,523
51,Organizador 51,1941,Evento 1941,12
36,Organizador 36,13463,Evento 13463,22
36,Organizador 36,14698,Evento 14698,1
36,Organizador 36,1246,Evento 1246,5
56,Organizador 56,221,Evento 221,2238
36,Organizador 36,11634,Evento 11634,2
36,Organizador 36,12953,Evento 12953,2
18,Organizador 18,11887,Evento 11887,932
36,Organizador 36,6491,Evento 6491,26
51,Organizador 51,356,Evento 356,485
24,Organizador 24,1840,Evento 1840,145
26,Organizador 26,1757,Evento 1757,113
26,Organizador 26,10162,Evento 10162,3
51,Organizador 51,344,Evento 344,743
26,Organizador 26,678,Evento 678,31
26,Organizador 26,450,Evento 450,4
26,Organizador 26,613,Evento 613,10
26,Organizador 26,716,Evento 716,1
51,Organizador 51,5717,Evento 5717,10
18,Organizador 18,3944,Evento 3944,532
18,Organizador 18,5331,Evento 5331,4
36,Organizador 36,7442,Evento 7442,24
26,Organizador 26,236,Evento 236,52
36,Organizador 36,12338,Evento 12338,3
26,Organizador 26,7932,Evento 7932,9
26,Organizador 26,350,Evento 350,194
18,Organizador 18,351,Evento 351,10
18,Organizador 18,710,Evento 710,25
36,Organizador 36,3124,Evento 3124,98
51,Organizador 51,3881,Evento 3881,428
36,Organizador 36,1449,Evento 1449,3
51,Organizador 51,4728,Evento 4728,376
26,Organizador 26,5794,Evento 5794,1
51,Organizador 51,817,Evento 817,540
26,Organizador 26,585,Evento 585,1
18,Organizador 18,7694,Evento 7694,2
26,Organizador 26,484,Evento 484,84
26,Organizador 26,699,Evento 699,1
51,Organizador 51,2858,Evento 2858,322
51,Organizador 51,440,Evento 440,214
18,Organizador 18,10339,Evento 10339,51
18,Organizador 18,5187,Evento 5187,6570
51,Organizador 51,4554,Evento 4554,43
36,Organizador 36,1517,Evento 1517,1
51,Organizador 51,5303,Evento 5303,192
26,Organizador 26,14748,Evento 14748,6
51,Organizador 51,523,Evento 523,226
51,Organizador 51,509,Evento 509,26
51,Organizador 51,6895,Evento 6895,416
51,Organizador 51,482,Evento 482,253
18,Organizador 18,6779,Evento 6779,4744
18,Organizador 18,1638,Evento 1638,174
36,Organizador 36,14071,Evento 14071,14
36,Organizador 36,8635,Evento 8635,26
36,Organizador 36,212,Evento 212,10
26,Organizador 26,499,Evento 499,10
36,Organizador 36,12949,Evento 12949,3
51,Organizador 51,1592,Evento 1592,315
51,Organizador 51,385,Evento 385,313
18,Organizador 18,266,Evento 266,14
26,Organizador 26,6096,Evento 6096,1
36,Organizador 36,14775,Evento 14775,3
18,Organizador 18,13338,Evento 13338,15
51,Organizador 51,3820,Evento 3820,172
26,Organizador 26,313,Evento 313,256
24,Organizador 24,11649,Evento 11649,20
51,Organizador 51,1222,Evento 1222,305
26,Organizador 26,835,Evento 835,169
24,Organizador 24,159,Evento 159,3
